Date,Open,High,Low,Close,Adj Close,Volume,Williams
2020-11-02,80.900002,80.974998,79.677498,79.902496,77.928879,94323200,-99.48100341431282
2020-11-03,69.347504,70.305,67.964996,68.857498,67.1567,255598800,-98.33441843163331
2020-11-05,77.025002,79.262497,76.809998,78.752502,77.015198,145946400,-79.8684247629192
2020-11-06,87.327499,87.764999,83.870003,83.974998,82.122482,201662400,-69.47859805629214
2020-11-08,111.970001,112.482498,109.107498,109.375,107.155014,187902400,-18.82779904352458
2020-11-09,114.57,115.230003,110.0,112.0,109.726738,180860300,-13.222974880896146
2020-11-11,117.190002,119.629997,116.440002,119.489998,117.266678,112295000,-0.27097454232121876
2020-11-12,122.43,122.760002,120.550003,122.410004,120.132347,86939800,-0.6387406910768463
2020-11-13,119.440002,119.669998,117.870003,119.260002,117.04097,81581900,-6.387443410445105
2020-11-16,118.919998,120.989998,118.150002,120.300003,118.0616,91183000,-4.489458400643293
2020-11-17,119.550003,120.669998,118.959999,119.389999,117.168533,74271000,-6.1502009872943475
2020-11-18,118.610001,119.82,118.0,118.029999,115.833847,76322100,-8.63217899821016
2020-11-19,117.589996,119.059998,116.809998,118.639999,116.432495,74113000,-7.518938860961156
2020-11-20,118.639999,118.769997,117.290001,117.339996,115.156685,73604300,-9.891423316935125
2020-11-23,117.18,117.620003,113.75,113.849998,111.731621,127959300,-16.26061323909701
2020-11-24,113.910004,115.849998,112.589996,115.169998,113.027077,113874200,-16.517961565356973
2020-11-25,115.550003,116.75,115.169998,116.029999,113.871048,76499200,-17.30522800990557
2020-11-27,116.57,117.489998,116.220001,116.589996,114.420624,46691300,-45.19321876778065
2020-11-30,116.970001,120.970001,116.809998,119.050003,116.834862,169410200,-29.075222715482305
2020-12-02,80.3675,81.805,80.3675,81.800003,79.779518,113730400,-96.62085762241635
2020-12-03,63.985001,67.5,62.0,62.057499,60.524662,418474000,-99.90536702088983
2020-12-05,79.457497,79.922501,77.727501,77.852501,76.135063,162301200,-73.12679854642475
2020-12-06,86.18,86.949997,83.555,84.699997,82.831497,200146000,-61.51890528967301
2020-12-08,110.497498,113.275002,110.297501,113.010002,110.71624,165598000,-13.498387086681577
2020-12-10,120.059998,125.18,119.279999,124.400002,121.875061,240226800,-1.2345647356758565
2020-12-11,119.620003,120.529999,118.57,119.209999,116.991882,103162300,-9.449194365305493
2020-12-14,122.599998,123.349998,121.540001,121.779999,119.514076,79184500,-5.381451408673636
2020-12-15,124.339996,127.900002,124.129997,127.879997,125.500565,157243700,-0.03035659998917391
2020-12-16,127.410004,128.369995,126.559998,127.809998,125.43187,98208600,-0.8437502519022274
2020-12-17,128.899994,129.580002,128.039993,128.699997,126.305305,94359800,-1.3021677625875345
2020-12-18,128.960007,129.100006,126.120003,126.660004,124.303268,192541500,-4.320801884557516
2020-12-21,125.019997,128.309998,123.449997,128.229996,125.844055,121251600,-1.9976412548789322
2020-12-22,131.610001,134.410004,129.649994,131.880005,129.426163,168904800,-3.49399096843024
2020-12-23,132.160004,132.429993,130.779999,130.960007,128.523285,88223700,-4.764530878910042
2020-12-24,131.320007,133.460007,131.100006,131.970001,129.51445,54930100,-4.304684639632076
2020-12-28,133.990005,137.339996,133.509995,136.690002,134.146652,124486200,-1.208504319680568
2020-12-29,138.050003,138.789993,134.339996,134.869995,132.360489,121047300,-13.758003336457966
2020-12-30,135.580002,135.990005,133.399994,133.720001,131.231888,96452100,-25.074153091942264
2020-12-31,134.080002,134.740005,131.720001,132.690002,130.221085,99116600,-30.16811627976336
2021-01-02,133.75,135.380005,130.929993,134.139999,131.644073,106239800,-26.956499458086817
2021-01-03,123.75,127.93,122.790001,127.790001,125.599648,116307900,-68.74998437499221
2021-01-04,123.660004,124.18,122.489998,123.0,120.891747,75089100,-96.87115241446392
2021-01-06,125.080002,125.349998,123.940002,124.279999,122.357285,67637100,-89.01839540441576
2021-01-07,136.600006,137.330002,135.759995,137.270004,135.146317,52485800,-9.325088750027277
2021-01-09,152.830002,154.979996,152.339996,152.509995,150.375504,80313700,-7.602342727137122
2021-01-10,141.899994,142.919998,139.110001,142.649994,140.653488,94639600,-37.950146996007845
2021-01-11,148.990005,149.699997,147.800003,148.960007,146.875198,74588300,-18.528745369575
2021-01-12,167.479996,170.300003,164.529999,164.770004,162.70105,152052500,-11.566614561115404
2021-01-13,128.759995,131.449997,128.490005,130.889999,128.454544,88636800,-82.43045362576309
2021-01-14,130.800003,131.0,128.759995,128.910004,126.511391,90221800,-86.57183574860537
2021-01-15,128.779999,130.220001,127.0,127.139999,124.774345,111598500,-90.27400018050614
2021-01-19,127.779999,128.710007,126.940002,127.830002,125.451492,90757300,-88.8307813395962
2021-01-20,128.660004,132.490005,128.550003,132.029999,129.573349,104319500,-80.04601547312114
2021-01-21,133.800003,139.669998,133.589996,136.869995,134.323303,120150900,-69.92261975291576
2021-01-22,136.279999,139.850006,135.020004,139.070007,136.482376,114459400,-65.32104734145081
2021-01-25,143.070007,145.089996,136.539993,142.919998,140.260712,157611700,-59.05954359233084
2021-01-26,143.600006,144.300003,141.369995,143.160004,140.496262,98390600,-62.59224717268807
2021-01-27,143.429993,144.300003,140.410004,142.059998,139.416733,140843800,-65.12916132082192
2021-01-28,139.520004,141.990005,136.699997,137.089996,134.539185,142621100,-76.59134279079005
2021-01-29,135.830002,136.740005,130.210007,131.960007,129.504654,177523800,-88.42249796073578
2021-02-02,135.729996,136.309998,134.610001,134.990005,132.478271,83305400,-81.43449535437051
2021-02-03,128.410004,128.720001,125.010002,125.120003,122.975403,102260900,-99.45218609129068
2021-02-06,124.279999,125.239998,124.050003,125.059998,123.125221,59278900,-95.19964193904443
2021-02-07,137.899994,140.0,137.75,139.960007,137.794724,78852600,-24.382085108108264
2021-02-08,146.360001,146.949997,145.25,145.520004,143.268692,62880000,-6.244512553147379
2021-02-09,153.869995,154.720001,152.399994,153.649994,151.499557,71115500,-3.488774273803357
2021-02-11,148.660004,151.570007,148.649994,150.020004,147.92038,69122000,-15.324412476322944
2021-02-12,158.740005,164.199997,157.800003,163.759995,161.703705,136739200,-1.095895556049131
2021-02-16,135.490005,136.009995,132.789993,133.190002,130.907074,80576300,-77.23536646107596
2021-02-17,131.25,132.220001,129.470001,130.839996,128.597336,97918500,-83.08843333824655
2021-02-18,129.199997,130.0,127.410004,129.710007,127.486778,96856700,-85.90285218971643
2021-02-19,130.240005,130.710007,128.800003,129.869995,127.643982,87668800,-85.50437641410362
2021-02-22,128.009995,129.720001,125.599998,126.0,123.840324,103916400,-95.1432196976169
2021-02-23,123.760002,126.709999,118.389999,125.860001,123.702721,158273000,-83.69351162163335
2021-02-24,124.940002,125.559998,122.230003,125.349998,123.201469,111039900,-84.80681225962944
2021-02-25,124.68,126.459999,120.540001,120.989998,118.916199,148199500,-94.32438525755884
2021-02-26,122.589996,124.849998,121.199997,121.260002,119.181557,164560400,-93.73498553743661
2021-03-02,135.759995,135.770004,133.610001,133.940002,131.44783,89880900,-66.05543837832084
2021-03-03,124.809998,125.709999,121.839996,122.059998,119.96785,112966300,-91.98865059981014
2021-03-05,132.039993,134.070007,131.830002,132.539993,130.268219,75135100,-69.11155944604056
2021-03-06,124.68,124.849998,123.129997,123.540001,121.628746,76229200,-88.75790826273338
2021-03-08,145.809998,148.039993,145.179993,147.360001,145.080215,64786600,-2.2933967541443634
2021-03-09,153.759995,154.630005,153.089996,154.300003,152.140472,57808700,-0.9106013944920632
2021-03-11,150.389999,151.970001,149.820007,151.490005,149.369812,54511500,-8.664457726635073
2021-03-12,164.020004,164.960007,159.720001,161.839996,159.807831,118023100,-6.699614481491989
2021-03-15,121.410004,124.0,120.419998,123.989998,121.864784,92403800,-87.97509547346438
2021-03-16,125.699997,127.220001,124.720001,125.57,123.417702,115227900,-84.58234965302134
2021-03-17,124.050003,125.860001,122.339996,124.760002,122.621582,111932600,-90.25594269637442
2021-03-18,122.879997,123.18,120.32,120.529999,118.464088,121229700,-99.52957220638427
2021-03-19,119.900002,121.43,119.68,119.989998,117.933342,185549500,-99.31537554753471
2021-03-22,120.330002,123.870003,120.260002,123.389999,121.275078,111912300,-91.80654057761079
2021-03-23,123.330002,124.239998,122.139999,122.540001,120.439644,95467100,-93.68374435101126
2021-03-24,122.82,122.900002,120.07,120.089996,118.031631,88530500,-99.09453194209976
2021-03-25,119.540001,121.660004,119.0,120.589996,118.523048,98844700,-96.54047920401754
2021-03-26,120.349998,121.480003,118.919998,121.209999,119.132439,94071200,-95.02606309221184
2021-03-29,121.650002,122.580002,120.730003,121.389999,119.309341,80819200,-94.63509878983734
2021-03-30,120.110001,120.400002,118.860001,119.900002,117.844887,85671900,-97.74403283157923
2021-03-31,121.650002,123.519997,121.150002,122.150002,120.05632,118323800,-92.86333932364347
2021-04-01,133.520004,133.610001,126.760002,129.410004,127.002121,143301900,-28.47455593220353
2021-04-02,136.300003,137.399994,134.589996,137.389999,134.833618,84183100,-0.05391048421649097
2021-04-03,121.75,123.599998,118.620003,120.129997,118.070946,178155000,-91.95955951203594
2021-04-05,131.190002,131.490005,126.699997,127.849998,125.658623,137564700,-50.85197325174435
2021-04-06,124.07,126.160004,123.849998,125.889999,123.942398,75169300,-61.28860764629756
2021-04-08,147.270004,147.789993,146.279999,146.949997,144.676575,56368300,-2.8796581692349332
2021-04-10,141.759995,142.210007,138.270004,139.139999,137.192612,98322000,-29.653743453460276
2021-04-11,151.580002,152.429993,150.639999,150.960007,148.847198,60394600,-4.347785965035795
2021-04-13,132.440002,134.660004,131.929993,134.429993,132.125839,91266500,-53.238702525496166
2021-04-14,134.940002,135.0,131.660004,132.029999,129.766953,87222800,-60.33717844932812
2021-04-15,133.820007,135.0,133.639999,134.5,132.194626,89347100,-53.03164242284601
2021-04-16,134.300003,134.669998,133.279999,134.160004,131.860489,84922400,-54.03725052861598
2021-04-19,133.509995,135.470001,133.339996,134.839996,132.528824,94264200,-52.02603431707605
2021-04-20,135.020004,135.529999,131.809998,133.110001,130.828461,94812300,-57.14285038238693
2021-04-21,132.360001,133.75,131.300003,133.5,131.211792,68847100,-55.989348118706914
2021-04-22,133.039993,134.149994,131.410004,131.940002,129.678543,84566500,-60.60336308883855
2021-04-23,132.160004,135.119995,132.160004,134.320007,132.017731,78657500,-63.365952303350625
2021-04-26,134.830002,135.059998,133.559998,134.720001,132.410873,66905100,-61.96639292624089
2021-04-27,135.009995,135.410004,134.110001,134.389999,132.086502,66015800,-85.37625431909818
2021-04-28,134.309998,135.020004,133.080002,133.580002,131.290405,107760100,-89.20965414560061
2021-04-29,136.470001,137.070007,132.449997,133.479996,131.192139,151101000,-89.6829435319184
2021-04-30,131.779999,133.559998,131.070007,131.460007,129.206772,109839500,-93.50000000000023
2021-05-01,128.889999,131.740005,128.429993,131.009995,128.572311,97664900,-70.13891412675946
2021-05-02,137.350006,137.419998,135.860001,136.759995,134.415894,75693800,-7.341519832302533
2021-05-03,120.980003,121.940002,117.57,121.419998,119.338821,153766600,-80.60454212640217
2021-05-04,123.870003,126.160004,123.07,125.900002,123.742043,88651200,-58.03525017987403
2021-05-05,129.199997,130.449997,127.970001,128.100006,125.904343,84000900,-46.952105486358164
2021-05-08,146.979996,147.839996,146.169998,147.059998,144.784882,46397700,-2.5768024548136896
2021-05-10,139.490005,142.240005,139.360001,141.110001,139.135071,80861100,-22.233220645288483
2021-05-11,151.889999,152.199997,150.059998,151.279999,149.380432,65463900,-2.656650533351165
2021-05-13,124.580002,126.150002,124.260002,124.970001,123.036621,105861300,-78.63123984677215
2021-05-14,126.25,127.889999,125.849998,127.449997,125.478241,81918000,-71.46983004358908
2021-05-17,126.82,126.93,125.169998,126.269997,124.316498,74244600,-74.87728052647532
2021-05-18,126.559998,126.989998,124.779999,124.849998,122.918472,63342900,-78.97776889787197
2021-05-19,123.160004,124.919998,122.860001,124.690002,122.760948,92612000,-79.43978453131251
2021-05-20,125.230003,127.720001,125.099998,127.309998,125.340408,76857100,-71.87410094202434
2021-05-21,127.82,128.0,125.209999,125.43,123.489487,79295400,-77.30291458009651
2021-05-24,126.010002,127.940002,125.940002,127.099998,125.133659,63092900,-72.48051162118205
2021-05-25,127.82,128.320007,126.32,126.900002,124.93676,72009500,-86.23039689575961
2021-05-26,126.959999,127.389999,126.419998,126.849998,124.887527,56575900,-86.40082636684748
2021-05-27,126.440002,127.639999,125.080002,125.279999,123.341827,94625600,-91.75188026610499
2021-05-28,125.57,125.800003,124.550003,124.610001,122.68219,71311100,-94.03544567627071
2021-06-01,127.720001,131.050003,126.379997,126.599998,124.244385,155088000,-87.25290555595167
2021-06-04,126.5,127.129997,125.650002,126.209999,124.04673,80171300,-59.096493505129835
2021-06-05,127.889999,129.75,127.129997,129.740005,127.516228,78128300,-15.995087669087336
2021-06-07,140.070007,143.149994,140.070007,142.020004,139.82283,108181800,-5.569198569955113
2021-06-08,146.350006,147.110001,145.630005,146.139999,144.094666,54126800,-4.00000824742277
2021-06-10,139.470001,142.149994,138.369995,142.0,140.012634,83221100,-21.072169072164982
2021-06-12,164.289993,167.880005,164.279999,165.320007,163.244125,107497000,-5.908141892077473
2021-06-14,127.82,130.539993,127.07,130.479996,128.46138,96906500,-86.31434865846533
2021-06-15,129.940002,130.600006,129.389999,129.639999,127.634384,62746300,-88.2529523077336
2021-06-16,130.369995,130.889999,128.460007,130.149994,128.136459,91815000,-87.07595028497809
2021-06-17,129.800003,132.550003,129.649994,131.789993,129.751083,96721700,-83.29104623627757
2021-06-18,130.710007,131.509995,130.240005,130.460007,128.441681,108953300,-86.36048066649066
2021-06-21,130.300003,132.410004,129.210007,132.300003,130.253235,79663300,-82.11400959547613
2021-06-22,132.130005,134.080002,131.619995,133.979996,131.907211,74783600,-80.27470185119333
2021-06-23,133.770004,134.320007,133.229996,133.699997,131.631546,60214200,-80.93773519267808
2021-06-24,134.449997,134.639999,132.929993,133.410004,131.346024,68711000,-84.46458411362609
2021-06-25,133.460007,133.889999,132.809998,133.110001,131.050659,70783700,-85.19970531736026
2021-06-28,133.410004,135.25,133.350006,134.779999,132.694839,62111300,-81.10757643866987
2021-06-29,134.800003,136.490005,134.350006,136.330002,134.220871,64556100,-77.30948084912019
2021-06-30,136.169998,137.410004,135.869995,136.960007,134.84111,63261400,-75.7657295067717
2021-07-01,128.360001,131.630005,127.860001,130.919998,128.484009,109578200,-62.765991193040136
2021-07-04,125.830002,127.919998,125.139999,127.900002,125.707756,83466700,-77.50609718577945
2021-07-05,130.850006,131.259995,129.479996,130.210007,128.195541,78973300,-58.679658239748115
2021-07-06,126.169998,126.32,124.830002,125.900002,123.95224,71057600,-91.49443696431838
2021-07-07,143.539993,144.889999,142.660004,144.570007,142.333405,104911600,-1.5951747151307403
2021-07-09,154.970001,157.259995,154.389999,156.690002,154.497009,82278300,-1.7576106168139187
2021-07-10,143.059998,144.220001,142.720001,143.289993,141.284561,61732700,-43.07741293684519
2021-07-12,169.080002,171.580002,168.339996,171.179993,169.030563,120405400,-0.8556342245989546
2021-07-13,144.029999,147.460007,143.630005,145.639999,143.386826,100827100,-55.4866374331551
2021-07-14,148.100006,149.570007,147.679993,149.149994,146.842499,127050800,-47.978626737967936
2021-07-15,149.240005,150.0,147.089996,148.479996,146.182892,106820300,-49.411777540106954
2021-07-16,148.460007,149.759995,145.880005,146.389999,144.125229,93251400,-53.882359358288795
2021-07-19,143.75,144.070007,141.669998,142.449997,140.246185,121434600,-62.31017112299465
2021-07-20,143.460007,147.100006,142.960007,146.149994,143.888931,96350000,-54.395739037433174
2021-07-21,145.529999,146.130005,144.630005,145.399994,143.150543,74993500,-56.00001711229948
2021-07-22,145.940002,148.199997,145.809998,146.800003,144.528885,77338200,-53.00534545454544
2021-07-23,147.550003,148.720001,146.919998,148.559998,146.261658,71447400,-49.240650267379664
2021-07-26,148.270004,149.830002,147.699997,148.990005,146.685028,72434100,-75.52655960861792
2021-07-27,149.119995,149.210007,145.550003,146.770004,144.499374,104818600,-82.94882875976879
2021-07-28,144.809998,146.970001,142.539993,144.979996,142.737061,118931200,-88.93347523457368
2021-07-29,144.690002,146.550003,144.580002,145.639999,143.386826,56699500,-86.7268456400073
2021-07-30,144.380005,146.330002,144.110001,145.860001,143.603439,70440600,-49.69985601444016
